model,dataset,layers,step,perplexity,log_file
forgetting_gate,babylm_100m,2-layer,506462208,22.702,forgetting_gate_2_4_256_babylm_100m.log
forgetting_gate,babylm_100m,2-layer,675282944,19.992,forgetting_gate_2_4_256_babylm_100m.log
forgetting_gate,babylm_100m,2-layer,844103680,18.436,forgetting_gate_2_4_256_babylm_100m.log
forgetting_gate,babylm_100m,2-layer,1012924416,17.466,forgetting_gate_2_4_256_babylm_100m.log
forgetting_gate,babylm_100m,2-layer,1181745152,16.842,forgetting_gate_2_4_256_babylm_100m.log
forgetting_gate,babylm_100m,2-layer,1350565888,16.441,forgetting_gate_2_4_256_babylm_100m.log
forgetting_gate,babylm_100m,2-layer,1519386624,16.203,forgetting_gate_2_4_256_babylm_100m.log
forgetting_gate,babylm_100m,2-layer,1688207360,16.091,forgetting_gate_2_4_256_babylm_100m.log
forgetting_gate,babylm_10m,2-layer,16777216,1331.147,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,babylm_10m,2-layer,33554432,102.953,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,babylm_10m,2-layer,50331648,59.67,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,babylm_10m,2-layer,67108864,44.926,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,babylm_10m,2-layer,83886080,37.474,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,babylm_10m,2-layer,100663296,33.13,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,babylm_10m,2-layer,117440512,30.669,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,babylm_10m,2-layer,134217728,29.306,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,babylm_10m,2-layer,150994944,28.622,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,babylm_10m,2-layer,167772160,28.374,forgetting_gate_2_4_256_babylm_10m.log
forgetting_gate,pile,2-layer,167772160,1871.879,forgetting_gate_2_4_256_pile.log
forgetting_gate,pile,2-layer,335544320,297.124,forgetting_gate_2_4_256_pile.log
forgetting_gate,pile,2-layer,503316480,163.128,forgetting_gate_2_4_256_pile.log
forgetting_gate,pile,2-layer,671088640,119.282,forgetting_gate_2_4_256_pile.log
forgetting_gate,pile,2-layer,838860800,93.729,forgetting_gate_2_4_256_pile.log
forgetting_gate,pile,2-layer,1006632960,77.081,forgetting_gate_2_4_256_pile.log
forgetting_gate,pile,2-layer,1174405120,67.192,forgetting_gate_2_4_256_pile.log
forgetting_gate,pile,2-layer,1342177280,62.511,forgetting_gate_2_4_256_pile.log
forgetting_gate,pile,2-layer,1509949440,60.492,forgetting_gate_2_4_256_pile.log
forgetting_gate,pile,2-layer,1677721600,59.842,forgetting_gate_2_4_256_pile.log
forgetting_gate,babylm_100m,4-layer,168820736,100.4,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_100m,4-layer,337641472,24.909,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_100m,4-layer,506462208,18.658,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_100m,4-layer,675282944,15.979,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_100m,4-layer,844103680,14.651,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_100m,4-layer,1012924416,13.868,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_100m,4-layer,1181745152,13.346,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_100m,4-layer,1350565888,12.987,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_100m,4-layer,1519386624,12.756,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_100m,4-layer,1688207360,12.636,forgetting_gate_4_6_384_babylm_100m.log
forgetting_gate,babylm_10m,4-layer,16777216,614.535,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,babylm_10m,4-layer,33554432,76.476,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,babylm_10m,4-layer,50331648,47.685,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,babylm_10m,4-layer,67108864,36.398,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,babylm_10m,4-layer,83886080,30.367,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,babylm_10m,4-layer,100663296,26.954,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,babylm_10m,4-layer,117440512,24.89,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,babylm_10m,4-layer,134217728,23.658,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,babylm_10m,4-layer,150994944,22.995,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,babylm_10m,4-layer,167772160,22.733,forgetting_gate_4_6_384_babylm_10m.log
forgetting_gate,pile,4-layer,167772160,1289.118,forgetting_gate_4_6_384_pile.log
forgetting_gate,pile,4-layer,335544320,211.688,forgetting_gate_4_6_384_pile.log
forgetting_gate,pile,4-layer,503316480,114.277,forgetting_gate_4_6_384_pile.log
forgetting_gate,pile,4-layer,671088640,71.102,forgetting_gate_4_6_384_pile.log
forgetting_gate,pile,4-layer,838860800,52.775,forgetting_gate_4_6_384_pile.log
forgetting_gate,pile,4-layer,1006632960,45.94,forgetting_gate_4_6_384_pile.log
forgetting_gate,pile,4-layer,1174405120,42.167,forgetting_gate_4_6_384_pile.log
forgetting_gate,pile,4-layer,1342177280,40.195,forgetting_gate_4_6_384_pile.log
forgetting_gate,pile,4-layer,1509949440,39.312,forgetting_gate_4_6_384_pile.log
forgetting_gate,pile,4-layer,1677721600,38.957,forgetting_gate_4_6_384_pile.log
fox,pile,2-layer,104857600,3728.024,fox_2_4_256_pile.log
fox,pile,2-layer,209715200,567.333,fox_2_4_256_pile.log
fox,pile,2-layer,314572800,277.982,fox_2_4_256_pile.log
